성별,연령대,기간,카테고리,브랜드명,상품명,정상가,할인가,할인율(%),상품URL,이미지URL
남성,19세이하,1주,전체,드로우핏,[패션플래닛X드로우핏] 워시드 크롭 옥스퍼드 셔츠 [5color],55000,49500,10,https://www.musinsa.com/products/5275916,https://image.msscdn.net/thumbnails/images/goods_img/20250728/5275916/5275916_17564335238263_500.jpg?w=780
남성,19세이하,1주,전체,스웨이드,CONTOUR POCKET DENIM [WHITE],72000,64800,10,https://www.musinsa.com/products/5064188,https://image.msscdn.net/thumbnails/images/goods_img/20250424/5064188/5064188_17454967027447_500.jpg?w=780
남성,19세이하,1주,전체,더마일,MILE GARMENTS  SWEAT MTM [BLACK],64000,36900,42,https://www.musinsa.com/products/3578496,https://image.msscdn.net/thumbnails/images/goods_img/20230920/3578496/3578496_17271518404217_500.jpg?w=780
남성,19세이하,1주,전체,밀로 아카이브,크롭 무브 가디건 [네이비],108000,86400,20,https://www.musinsa.com/products/4419823,https://image.msscdn.net/thumbnails/images/goods_img/20240909/4419823/4419823_17259531168323_500.jpg?w=780
남성,19세이하,1주,전체,무신사 스탠다드,베이식 옥스포드 셔츠 [화이트],33900,32290,5,https://www.musinsa.com/products/728000,https://image.msscdn.net/thumbnails/images/goods_img/20180305/728000/728000_17286256542856_500.jpg?w=780
남성,19세이하,1주,전체,1989스탠다드,BASIC LOGO 후드 (STHSTD-0006),66500,26990,59,https://www.musinsa.com/products/2990504,https://image.msscdn.net/thumbnails/images/goods_img/20221220/2990504/2990504_16947562921813_500.jpg?w=780
남성,19세이하,1주,전체,가까이 유니언즈,원턱 투 라인 와이드 스웨트팬츠 블랙,50000,37500,25,https://www.musinsa.com/products/4343527,https://image.msscdn.net/thumbnails/images/goods_img/20240819/4343527/4343527_17248935778075_500.jpg?w=780
남성,19세이하,1주,전체,트릴리온,헤어리 그래픽 로고 오버핏 자카드 니트 (BLUE),52000,39800,23,https://www.musinsa.com/products/4328686,https://image.msscdn.net/thumbnails/images/goods_img/20240814/4328686/4328686_17249552459456_500.jpg?w=780
남성,19세이하,1주,전체,르아르,에센셜 후디드 라이트 패딩 자켓 (8color),142000,79900,44,https://www.musinsa.com/products/5479465,https://image.msscdn.net/thumbnails/images/goods_img/20250917/5479465/5479465_17587931781985_500.jpg?w=780
남성,19세이하,1주,전체,스켈리웩,[폴라폴리스추가]라인 트레이닝 팬츠[그레이],59000,29990,49,https://www.musinsa.com/products/4556433,https://image.msscdn.net/thumbnails/images/goods_img/20241024/4556433/4556433_17321833077190_500.jpg?w=780
남성,19세이하,1주,전체,트릴리온,울 엘보우 패치 2WAY 해링턴 자켓 (BLACK),119000,99000,17,https://www.musinsa.com/products/3637243,https://image.msscdn.net/thumbnails/images/goods_img/20231018/3637243/3637243_17171437931541_500.jpg?w=780
남성,19세이하,1주,전체,아디다스,오버사이즈 크루 스웨트셔츠 - 블랙 / IZ1829,79000,79000,30,https://www.musinsa.com/products/4258349,https://image.msscdn.net/thumbnails/images/goods_img/20240718/4258349/4258349_17217089623929_500.jpg?w=780
남성,19세이하,1주,전체,노매뉴얼,CROPPED HAIRY KNIT - MARINA,109000,65400,40,https://www.musinsa.com/products/3451265,https://image.msscdn.net/thumbnails/images/goods_img/20230808/3451265/3451265_17237901730960_500.jpg?w=780
남성,19세이하,1주,전체,언탭트 스튜디오,오버핏 케이블 헨리넥 라운드 니트 4Color,49900,34930,30,https://www.musinsa.com/products/5311166,https://image.msscdn.net/thumbnails/images/goods_img/20250811/5311166/5311166_17549219787236_500.jpg?w=780
남성,19세이하,1주,전체,디미트리블랙,2WAY 디트로이트 패딩 자켓_블랙,77700,59900,23,https://www.musinsa.com/products/5478147,https://image.msscdn.net/thumbnails/images/goods_img/20250917/5478147/5478147_17612717782333_500.jpg?w=780
남성,19세이하,1주,전체,스탠다드에러,87-STAN047 벌룬핏 워싱 와이드 데님팬츠 9COLOR,54000,21900,59,https://www.musinsa.com/products/5151941,https://image.msscdn.net/thumbnails/images/goods_img/20250528/5151941/5151941_17633489271866_500.jpg?w=780
